   7      11      15      39      59      63      67      71         
  95      99     103     107     115     119     131     135       
 143     151     155     167     175     179     183     203      
 215     219     223     235     239     247     255     259      
 267     271     283     287     291     295     311     327       
 347     355     363     371     375     379     383     399     
 407     415     419     427     431     435     439     447     
 455     483     491     495     503     507     519     527     
 535     539     555     567     571     579     587     599     
 603     615     619     627     635     643     651     683     
 687     691     695     699     707     711     731     735     
 743     763     767     771     791     803     807     811     
 815     823     827     831     839     843     855     863     
 867     871     879     883     903     907     923     927     
